SAMPLE_ID	SAMPLE_NAME	PUBCHEM_SID	PRIMARY_MOA	ASSAY_NAME	LIBRARY	CAS	ALIAS	AC50	LOG_AC50	AUC	CURVE_CLASS2	DATA_POINTS	DRUG_NAME	EFFICACY	MAX_RESPONSE	P_HILL	R2	GENE_ID	GENE_SYMBOL	SMILES	SUPPLIER	SUPPLIER_ID	DATA0	DATA1	DATA2	DATA3	DATA4	DATA5	DATA6	DATA7	DATA8	DATA9	DATA10	DATA11	DATA12	DATA13	DATA14	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14
NCGC00016241-10	Furosemide	170464879	Loop Diuretics	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	54-31-9	 ; Diumide-K; Frusemid;FUROSEMIDE; Errolon; Lasix; Furosemide;Furosemide; Furosemide and potassium; Furosemida; Furantral; Furosemide solution; Fusid; Diumide-K continus; Furanthril	42.2841205686	-4.3738226975	-17.6504759688	4	7		-23.993506496	-22.07792208	0.3081647291	0.6174067563			NS(=O)(=O)c2cc(c(NCc1ccco1)cc2Cl)C(=O)O	Vitas	STK177334	0	2.88335518	-1.97802198	-15.09591326	0	0	-22.07792208									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00253670-01	Meropenem	170466350	Carbapenem Antibiotic	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	96036-03-2				6.8467066156	4	7		0	2.36127509					O[C@H](C)[C@H]3C(=O)N2C(=C(S[C@H]1C[C@H](NC1)C(=O)N(C)C)[C@H](C)[C@@H]23)C(=O)O	GVK	FFS-12-73-NCI-194	0	0	2.34432234	0	1.44534779	4.82954545	2.36127509									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00016055-16	Trimethoprim	170464633	Bacterial dihydrofolate reductase Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	738-70-5				0	4	7		0	0					Nc2nc(N)ncc2Cc1cc(OC)c(OC)c(OC)c1	Vitas	STK177322	0	0	0	0	0	0	0									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00253611-01	Isoaminile	170465846		DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	77-51-0				4.9384522934	4	7		0	4.1322314					CC(C)C(C#N)(CC(C)N(C)C)c1ccccc1	GVK	FFS-11-286-NCI-202	0	0.3931848	0	0	4.60704607	0	4.1322314									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00018204-13	Vinpocetine	170465859	Na channel blocker, also PDE1, IKK inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	42971-09-5	;Vinpocetine; Cavinton	18.8876228665	-4.7238226975	-32.7699753276	-2.2	7		-50.6168831127	-47.81582054	0.0071432417	0.9633901648			O=C(OCC)C1=C[C@@]5(CCCN4CCc3c(n1c2ccccc23)[C@@H]45)CC	Prestwick Chemical, Inc.	Prestw-268	0	-9.04325033	0	0	0	-13.92045455	-47.81582054									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00182985-01	Trolnitrate	144206882	Soluble guanylate cyclase Activator	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	7077-34-1	TROLNITRATE PHOSPHATE; Trolnitrato; Angitrit; 	8.4367912292	-5.0738226975	-2.9792095149	4	7	trolnitratum;Trolnitratum;Trolnitrate;TROLNITRATE PHOSPHATE;2,2',2''- nitrilotrisethanol, trinitrate (ester);Trolnitrate Phosphate;Trolnitrate phosphate;LS-66974;trolnitrate;Trolnitrato;Ethanol, 2,2',2''-nitrilotris-, trinitrate (ester), phosphate (1:2) (salt) (9CI);Angitrit;CIPLUS_154803;Ethanol, 2,2',2''-nitrilotri-, trinitrate (ester), phosphate (1:2);trolnitrate phosphate (1:2);CIPLUS_658463;triethanolamine trinitrate;TROLNITRATE;	-19.295454544	0	0.0265307329	0.9581401422			O=[N+]([O-])OCCN(CCO[N+]([O-])=O)CCO[N+]([O-])=O	Pharmaron	PH-NIH-183589	0	0	0	0	3.34236676	-15.24621212	0									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00166298-02	Melengestrol acetate	170465702		DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	2919-66-6		10.6212908725	-4.9738226975	-18.0281495591	-2.4	7		-28.227272724	-27.27272727	0.0001134083	0.9956265257			CC(=O)[C@@]3(OC(C)=O)C(=C)C[C@H]2[C@@H]4C=C(C)C1=CC(=O)CC[C@]1(C)[C@H]4CC[C@@]23C	Prestwick	Prestw-1435	0.48048048	0	0	2.08507089	0	-14.86742424	-27.27272727									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00017358-15	Rotenone	170466816	NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	83-79-4	;ROTENONE;Rotenone	11.9172843674	-4.9238226975	-64.2292475735	-2.2	7		-91.8500590335	-79.69303424	0.0006014224	0.9898195652	51103	NDUFAF1	C=C(C)[C@@H]2Oc3ccc1C(=O)[C@H]4c5cc(OC)c(OC)cc5OC[C@H]4Oc1c3C2	Microsource	00200013	2.16216216	0.78636959	0	2.41868224	-17.07317073	-41.00378788	-79.69303424									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00183026-01	Dicethiamine hydrochloride	144206821		DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	616-96-6	Cetotiamine; Cetotiamine Hydrochloride; O,S-dicarbethoxythiamine; Cetotiamina; 	8.4367912292	-5.0738226975	-3.5315540956	4	7	Cetotiamine Hydrochloride;Cetotiamine;O,S-dicarbethoxythiamine;CETOTIAMINE;CIPLUS_210876;Cetotiaminum;Cetotiamina;CIPLUS_697013;O,S-bis(ethoxycarbonyl)thiamine;cetotiamine;cetotiaminum;	-13.159090912	0	0.0000017362	0.9999367856			Cl.Nc1nc(C)ncc1CN(C=O)C(/C)=C(/CCOC(=O)OCC)SC(=O)OCC	Pharmaron	PH-NIH-149305	0	0	0	0	0	-10.13257576	0									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
NCGC00159515-03	Eszopiclone	170465445	GABAA Receptor Modulator	DPI_SARS-CoV-2_General	2020_NCATS-NPC_01	138729-47-2	Eszopiclone; ; Estorra; Eszopiclone; Zopiclona;Zopiclone; Amoban			1.8301017611	4	7		0	-3.42384888			2554	GABRA1	CN1CCN(CC1)C(=O)O[C@H]4c2nccnc2C(=O)N4c3ccc(Cl)cn3	Bionet	KS-1055	-1.44144144	3.66972477	0.29304029	2.25187656	0	0	-3.42384888									3.6599999999E-9	1.83E-8	9.1399999999E-8	4.57E-7	0.00000229	0.0000114	0.0000571								
