SAMPLE_ID	SAMPLE_NAME	PUBCHEM_SID	PRIMARY_MOA	ASSAY_NAME	LIBRARY	CAS	ALIAS	AC50	LOG_AC50	AUC	CURVE_CLASS2	DATA_POINTS	DRUG_NAME	EFFICACY	MAX_RESPONSE	P_HILL	R2	GENE_ID	GENE_SYMBOL	SMILES	SUPPLIER	SUPPLIER_ID	DATA0	DATA1	DATA2	DATA3	DATA4	DATA5	DATA6	DATA7	DATA8	DATA9	DATA10	DATA11	DATA12	DATA13	DATA14	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14
NCGC00181116-02	Carbomycin A	124893648	Bacterial 70S ribosome Inhibitor	DPI_SARS-CoV-2_General	2019_NPC_02			11.0676527398	-4.9559444758	-20.1539792541	4	7		-10.27378634	-12.59572849	0.0077810221	0.9621220274			CO[C@H]1[C@@H](CC(=O)O[C@H](C)C[C@@H]2OC2\C=C/C(=O)[C@H](C)C[C@H](CC=O)[C@@H]1OC3OC(C)C(OC4CC(C)(O)C(OC(=O)CC(C)C)C(C)O4)C(C3O)N(C)C)OC(C)=O	NCI	NSC-51001	-4.19662882	-3.0331031	-2.28545979	-2.69625611	-1.95090654	-5.30345735	-12.59572849									2.13E-9	1.0599999999E-8	5.3199999999E-8	2.66E-7	0.00000133	0.0000066399999999	0.0000332								
NCGC00090820-03	4-Acetamidobenzoic acid	170466207	immune response Modulator	DPI_SARS-CoV-2_General	2019_NPC_01	556-08-1				-13.1415500321	4	7		0	-2.34214595					O=C(C)Nc1ccc(cc1)C(=O)O	Specs	AE-562/J256200	-3.02810253	-0.01710362	-2.69796008	-3.84528557	-5.35197686	-2.19015194	-2.34214595									2.13E-9	1.0599999999E-8	5.3199999999E-8	2.66E-7	0.00000133	0.0000066399999999	0.0000332								
NCGC00179392-03	Beclomethasone	170464981		DPI_SARS-CoV-2_General	2019_NPC_01	4419-39-0		11.0676527398	-4.9559444758	-36.1703058093	-2.2	7		-63.8134394568	-48.34351474	0.0001711598	0.9946133566			OCC(=O)[C@@]4(O)[C@@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(Cl)[C@H]3CCC1=CC(=O)C=C[C@@]12C	Prestwick Chemical, Inc.	Prestw-855	3.27983928	4.02423828	0	0	-1.76876618	-20.71751613	-48.34351474									2.13E-9	1.0599999999E-8	5.3199999999E-8	2.66E-7	0.00000133	0.0000066399999999	0.0000332								
NCGC00159422-04	Tiopronin	170465217	Copper Chelator	DPI_SARS-CoV-2_General	2019_NPC_01	1953-02-2	 Dextiopronin; Meprin (detoxicant); ; Tiopronino;Tiopronin; Tiopronin; Thiopronine			4.9410357348	4	7		0	1.6222656				MPO	OC(=O)CNC(=O)C(C)S	Labotest	LT00451995	-0.21542856	-0.38849659	1.06504838	0.28845913	3.68218038	1.40759185	1.6222656									2.13E-9	1.0599999999E-8	5.3199999999E-8	2.66E-7	0.00000133	0.0000066399999999	0.0000332								
NCGC00159406-12	Noradrenaline bitartrate monohydrate	170465227	alpha/beta-adrenoceptor Agonist	DPI_SARS-CoV-2_General	2019_NPC_01	69815-49-2	; Norepinephrine bitartrate; Noreinefrina; L-(-)-NOREPINEPHRINE; L-Arterenol; NET protein, human; SLC6A2 protein, human; ;Norepinephrine bitartrate;L(-)-Norepinephrine bitartrate; Arterenol hydrochloride; Slc6a2 protein, mouse; (-)-Norepinephrine; Receptors, Adrenergic; (-)Arterenol; (-)-Arterenol bitartrate; Receptor, Adrenergi; Arterenol; Epinephrine Receptors; L(-)-Norepinephrine bitartrate; Norepinephrine Receptors;NOREPINEPHRINE; Noradrenaline bitartrate; Slc6a2 protein, rat; D-Norepinephrine Tartrate;(+/-)-NOREPINEPHRINE; Net protein, rat; Adrenergic Receptor; Norepinephrine; L-Arterenol hydrochloride; Noradrenaline Bitartrate	15.6334750258	-4.8059444758	-58.2085896655	-2.2	7		-49.496242208	-48.66796786	0.0016417601	0.9829987262	148	ADRA1A	Oc1ccc(cc1O)[C@@H](O)CN.O=C(O)C(O)C(O)C(=O)O.O=C(O)C(O)C(O)C(=O)O	Microsource	01500436	-7.20112313	-4.08776602	-4.67695157	-7.2014448	-10.59990864	-13.02911733	-48.66796786									2.13E-9	1.0599999999E-8	5.3199999999E-8	2.66E-7	0.00000133	0.0000066399999999	0.0000332								
NCGC00271789-02	Actinomycin D	170464668	DNA-Directed RNA Polymerase Inhibitor	DPI_SARS-CoV-2_General	2019_NPC_01	50-76-0		11.0676527398	-4.9559444758	-35.70567187	4	7		-15.509614336	-19.0210641	0.0385136217	0.9077517232		PRKDC	CC(C)[C@H]6NC(=O)[C@@H](NC(=O)c1ccc(C)c2OC3=C(C)C(=O)C(N)=C(C3=Nc12)C(=O)N[C@@H]5C(=O)N[C@@H](C(=O)N4CCC[C@H]4C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]5C)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]7CCCN7C6=O	SIGMA	A1410	-5.06620192	-4.42495174	-8.20599059	-6.2783756	-3.17971882	-9.73626709	-19.0210641									2.13E-9	1.0599999999E-8	5.3199999999E-8	2.66E-7	0.00000133	0.0000066399999999	0.0000332								
NCGC00092386-13	Sertraline hydrochloride	170465121	Selective Seratonin Reuptake Inhibitor (SSRI)	DPI_SARS-CoV-2_General	2019_NPC_01	79559-97-0		5.5469662594	-5.2559444758	-34.9096258093	-2.2	7		-39.0650553888	-35.58338192	0.0005565144	0.9902194607		SLC6A4	Cl.Clc1ccc(cc1Cl)[C@@H]3CC[C@H](NC)c2ccccc23	Microsource	01505262	0.07019582	1.02377404	2.94655261	-2.28008127	-3.44871339	-21.42385284	-35.58338192									2.13E-9	1.0599999999E-8	5.3199999999E-8	2.66E-7	0.00000133	0.0000066399999999	0.0000332								
NCGC00249912-01	Floctafenine	170465681	Prostaglandin G/H synthase 2 Inhibitor	DPI_SARS-CoV-2_General	2019_NPC_01	23779-99-9		9.8640558873	-5.0059444758	-28.4794609965	-2.2	7		-42.426820612	-30.77235051	0.0000163625	0.9983459243	5743	PTGS2	OCC(O)COC(=O)c3ccccc3Nc1ccnc2c(cccc12)C(F)(F)F	GVK	FFS-11-286-NCI-159	1.39181371	1.64927798	0.57273769	-0.68477688	-4.96624879	-15.45810255	-30.77235051									2.13E-9	1.0599999999E-8	5.3199999999E-8	2.66E-7	0.00000133	0.0000066399999999	0.0000332								
NCGC00160408-06	Benziodarone			DPI_SARS-CoV-2_General	2019_NPC_02			6.2237985085	-5.2059444758	-65.0049253966	-2.2	7		-75.0828854066	-65.42358369	0.0000202881	0.9981559416			CCC1=C(C(=O)C2=CC(=C(O)C(=C2)I)I)C3=CC=CC=C3O1	Bionet	KS-1133_CM2	0	2.77899697	0	1.04997311	-8.97987311	-38.51465614	-65.42358369									2.13E-9	1.0599999999E-8	5.3199999999E-8	2.66E-7	0.00000133	0.0000066399999999	0.0000332								
NCGC00389765-01	DIBEKACIN			DPI_SARS-CoV-2_General	2019_NPC_02	34493-98-6				1.0756959266	4	7		0	-0.82290824					NC[C@@H]1CC[C@@H](N)[C@H](O1)O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O	Microsource	01503114	1.50061273	-2.03515905	0.59773564	0.979819	3.41468051	-1.24483277	-0.82290824									1.0599999999E-9	5.32E-9	2.6599999999E-8	1.33E-7	6.64E-7	0.0000033199999999	0.0000166								
